mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
1.081606960296631,0.039605566496090476,0.017711639404296875,0.004307748821685438,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1056185890.118024,-1479846036.929158,-1718866196.358096,-652404043.8361887,-691246479.922942,-1119709729.4328818,423007628.7653143,107,-190719867.8939593,-186023456.7367789,-171184165.44958958,-196821773.33078033,-204804967.16437283,-189910846.11509615,11278746.720945349,0.8447533201579729,0.7197296016774296,0.7641191116382248,0.8781473905651982,0.8624205045853985,0.8138339857248449,0.06128633273630533,107,0.9668538562807971,0.9696257004623355,0.9695805874948977,0.967805521986149,0.966960791964731,0.9681652916377821,0.0012195058555143615
2.2550377368927004,0.20202170587669824,0.039981508255004884,0.010134567993955599,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1016077159.4665363,-1460915463.0990417,-1715246805.6882706,-645409740.7358902,-691306781.3153186,-1105791190.0610116,421745517.57709605,103,-179224186.18636262,-172493706.09944144,-172748874.05378476,-197175335.71374956,-201859527.47939014,-184700325.9065457,12424901.955720693,0.8506488233308337,0.7233148932114404,0.7646158024733437,0.8794537498558884,0.8624085027374659,0.8160883543217944,0.0610106452985913,104,0.9688517473355563,0.9718348664768661,0.969302538901114,0.9677476891754166,0.9674359513119619,0.969034558640183,0.0015593932013912984
3.288938283920288,0.31399671064705964,0.042654895782470705,0.005184465098202352,10,1,2,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-1006682139.7772895,-1451067671.5019476,-1742526130.1178901,-638784504.1690453,-699015664.8322859,-1107615222.0796916,428489153.5389172,104,-176454791.7777043,-167419824.15570125,-171553858.715879,-196687623.99611026,-197226942.1629411,-181868608.16166717,12648734.931334997,0.8520297787359878,0.7251799821495049,0.7608722468120587,0.880691176832959,0.8608741957496133,0.8159294760560247,0.06129291428175609,105,0.9693330540085223,0.9726633405450369,0.9695148930310548,0.9678274650249323,0.9681832815751408,0.9695044068369374,0.0017068004993231144
0.9853703022003174,0.08479892485897304,0.015510177612304688,0.001891297865143033,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1037725722.4950254,-1353176078.317619,-1807159371.5165687,-654114913.198028,-719433469.2658851,-1114321910.9586253,426771460.68466955,106,-236663264.89659697,-230638767.06589496,-209680742.39857695,-251285605.80059162,-256464175.77825966,-236946511.18798405,16551971.951502034,0.8474667437698691,0.7437198269235841,0.7520025939960782,0.8778278433488499,0.8568104192053021,0.8155654854487366,0.05620938689057578,106,0.9588691273859316,0.9623408191700802,0.962739748850914,0.95889677867322,0.9586271105898952,0.9602947169340081,0.001840226252102352
1.9931686878204347,0.1494037769765918,0.02734541893005371,0.0015287045527081497,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1037778592.9239982,-1382280723.591964,-1757000058.2300265,-651371307.148412,-709870885.6129975,-1107660313.5014796,416744049.71199894,105,-225427538.68000516,-218170206.6046755,-208403046.6201627,-253157939.58624294,-262990509.08524325,-233629848.1152659,20909637.387931317,0.8474589724498423,0.7382076517914975,0.7588859822450965,0.8783402797133473,0.858713670031217,0.8163213112462001,0.05659254242245997,103,0.9608218394975603,0.9643767118305873,0.9629667952885184,0.9585905177963024,0.9575742802468504,0.9608660289319637,0.002559438482952701
2.788379192352295,0.16989655684380844,0.04532437324523926,0.00456326122239625,10,1,5,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-1041113195.4705851,-1374836355.174189,-1762967947.7881434,-640967040.9259492,-703619264.1730975,-1104700760.7063928,421010127.4702078,102,-222064924.862322,-212620223.46567786,-205674226.41437963,-251721211.0097204,-257566201.80682984,-229929357.51178592,20921026.97450772,0.8469688258016111,0.7396175525849877,0.7580670057048654,0.8802835340515742,0.859957936654203,0.8169789709594483,0.056937613748725635,102,0.9614062446888174,0.9652829246988464,0.9634517064207715,0.9588255259754586,0.9584493313703659,0.961483146630852,0.002630073668318801
0.9726335525512695,0.017270953402511186,0.016676712036132812,0.0034172722872440413,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-1091227195.2474654,-1255759919.7947881,-1767769813.280173,-658310190.3069528,-725746470.1917151,-1099762717.7642188,401350208.4943487,97,-316345026.58778423,-338504044.5778103,-286514949.9947887,-365420717.41805166,-357915148.329613,-332939977.38160956,28776351.543158885,0.8396026678631677,0.7621696283697568,0.7574080432443472,0.8770442714690396,0.8555539361603187,0.818355709421326,0.04929702292661728,92,0.9450208421811418,0.9447283507946742,0.9490863163080535,0.9402275009841031,0.9422610046603725,0.944264802985669,0.0029782034092574903
2.1366522789001463,0.14405923336372656,0.030936241149902344,0.007422203565169699,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-1072124063.606101,-1297708921.1827862,-1748000228.6117074,-661946909.1965901,-718167659.5444373,-1099589556.4283245,399363439.96076775,96,-311993463.49200773,-328039454.7946276,-285510040.02386516,-365371099.8400747,-360384603.5202015,-330259732.3341554,29938059.93628643,0.842410599487378,0.7542248401722997,0.7601210334724531,0.8763650241672029,0.8570623546115946,0.8180367703821856,0.05088312093064634,99,0.9457771217306641,0.9464370309266801,0.9492648887294906,0.9402356170171835,0.9418626312961653,0.9447154579400368,0.0032556369150982685
2.925004243850708,0.16022748793823208,0.055542707443237305,0.023144712992466034,10,1,10,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-1087484073.35154,-1277500558.2487304,-1767591135.3384895,-653375269.1286244,-714233381.8699548,-1100036883.587468,406357120.68781066,98,-308223479.50885606,-323825525.8346862,-280231711.31598705,-366193161.15754366,-354725156.028845,-326639806.76918364,31157815.382144902,0.8401528619644367,0.7580521342202183,0.7574325633097858,0.8779659901932193,0.8578453979297126,0.8182897895234745,0.05086465593745828,96,0.9464323257862485,0.9471250900709675,0.950202847318597,0.9401011510251165,0.9427756153200417,0.9453274059041942,0.0035227211226821066
0.9702922344207764,0.07526377794541633,0.015464544296264648,0.0005558250447740383,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1010912786.4863077,-1413449488.8345056,-1511855647.5703876,-645810872.2788012,-701672235.8284485,-1056740206.1996901,355361199.55608386,69,-261775959.66721568,-251955162.59425563,-255943424.81341746,-275368392.46729976,-274487690.4394833,-263906125.99633437,9530171.075819086,0.8514079243244634,0.7323045496904996,0.7925272752589668,0.8793788286077875,0.8603454557013084,0.8231928067166052,0.05391536205755293,70,0.9545046686683626,0.9588602334729875,0.9545188738869618,0.9549575155889952,0.9557195509800691,0.9557121685194753,0.0016347401303058206
